JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3
18136,0,0,1,0
18138,1,0,0,0
18140,0,0,1,0
18142,0,0,1,0
18144,0,0,1,0
18146,0,0,1,0
18148,0,0,1,0
18150,0,0,1,0
18152,1,0,0,0
18154,1,0,0,0
18156,0,0,0,0
18158,1,0,0,0
18160,0,0,1,0
18162,1,0,0,0
18164,0,0,1,0
18166,0,0,1,0
18168,0,0,1,0
18170,1,0,0,0
18172,0,0,1,0
18174,0,0,1,0
18176,0,0,1,0
18178,0,0,1,0
18180,0,0,1,0
18182,0,0,1,0
18184,0,0,1,0
18186,0,1,0,0
18188,1,0,0,0
18190,1,0,0,0
18192,1,0,0,0
18194,0,0,1,0
18196,0,1,0,0
18198,1,0,0,0
18200,1,0,0,0
18202,0,0,1,0
18204,0,0,1,0
18206,0,0,1,0
18208,1,0,0,0
18210,1,0,0,0
18212,0,0,1,0
18214,0,0,1,0
18216,0,0,1,0
18218,0,0,1,0
18220,0,0,1,0
18222,1,0,0,0
18224,0,0,1,0
18226,0,0,1,0
18228,0,0,1,0
18230,1,0,0,0
18232,0,0,1,0
18234,0,0,1,0
18236,1,0,0,0
18238,1,0,0,0
18240,0,0,1,0
18242,0,0,1,0
18244,0,0,1,0
18246,0,0,1,0
18248,1,0,0,0
18250,0,0,1,0
18252,1,0,0,0
18254,0,1,0,0
18256,0,0,1,0
18258,0,0,1,0
18260,0,0,1,0
18262,0,1,0,0
18264,1,0,0,0
18266,0,1,0,0
18268,1,0,0,0
18270,0,0,1,0
18272,1,0,0,0
18274,0,1,0,0
18276,1,0,0,0
18278,1,0,0,0
18280,0,0,1,0
18282,0,1,0,0
18284,0,0,1,0
18286,0,0,1,0
18288,0,0,1,0
18290,1,0,0,0
18292,0,0,1,0
18294,0,0,1,0
18296,0,0,1,0
18298,1,0,0,0
18300,0,0,1,0
18302,1,0,0,0
18304,1,0,0,0
18306,0,0,1,0
18308,0,0,1,0
18310,0,1,0,0
18312,1,0,0,0
18314,1,0,0,0
18316,0,1,0,0
18318,0,0,1,0
18320,0,0,1,0
18322,0,0,1,0
18324,1,0,0,0
18326,1,0,0,0
18328,0,0,1,0
18330,0,0,1,0
18332,0,1,0,0
18334,1,0,0,0
18336,0,0,1,0
18338,0,0,1,0
18340,0,0,1,0
18342,0,1,0,0
18344,0,1,0,0
18346,1,0,0,0
18348,1,0,0,0
18350,0,1,0,0
18352,0,1,0,0
18354,1,0,0,0
18356,1,0,0,0
18358,0,0,1,0
18360,0,1,0,0
18362,1,0,0,0
18364,0,1,0,0
18366,0,0,1,0
18368,0,0,1,0
18370,0,1,0,0
18372,0,0,1,0
18374,0,0,1,0
18376,0,0,1,0
18378,0,1,0,0
18380,1,0,0,0
18382,1,0,0,0
18384,1,0,0,0
18386,0,1,0,0
18388,1,0,0,0
18390,1,0,0,0
19336,0,0,1,0
19338,1,0,0,0
19340,0,0,1,0
19342,0,0,1,0
19344,1,0,0,0
19346,1,0,0,0
19348,0,0,1,0
19350,1,0,0,0
19352,0,1,0,0
19354,0,1,0,0
19356,0,0,1,0
19358,1,0,0,0
19360,1,0,0,0
19362,0,0,1,0
19364,0,1,0,0
19366,0,0,1,0
19368,1,0,0,0
19370,0,0,1,0
19372,0,1,0,0
19374,0,0,1,0
19376,1,0,0,0
19378,1,0,0,0
19380,0,0,1,0
19382,0,0,1,0
19384,0,1,0,0
19386,1,0,0,0
19388,0,0,1,0
19390,0,0,1,0
19392,0,0,1,0
19394,1,1,1,0
19396,0,0,1,0
19398,1,0,0,0
19400,1,0,0,0
19402,0,0,0,1
19404,0,1,0,0
19406,0,0,1,0
19408,0,0,1,0
19410,0,0,1,0
19412,0,1,0,0
19414,0,1,0,0
19416,1,0,0,0
19418,0,0,1,0
19420,0,1,0,0
19422,1,0,0,0
19424,1,0,0,0
19426,1,0,0,0
19428,0,1,0,0
19430,0,0,1,0
19432,0,0,1,0
19434,1,0,0,0
19436,0,1,0,0
19438,0,0,1,0
19440,1,0,0,0
19442,1,0,0,0
19444,0,0,1,0
19446,0,0,1,0
19448,0,0,1,0
19450,0,1,0,0
19452,0,0,1,0
19454,1,0,0,0
19456,1,0,0,0
19458,0,0,0,1
19460,0,0,1,0
19462,1,0,0,0
19464,1,0,0,0
19466,0,0,1,0
19468,0,0,1,0
19470,0,0,1,0
19472,0,0,1,0
19474,1,0,0,0
19476,0,0,1,0
19478,0,0,1,0
19480,0,0,1,0
19482,0,0,1,0
19484,0,1,0,0
19486,0,0,0,1
19488,0,0,1,0
19490,0,0,1,0
19492,1,0,0,0
19494,0,0,1,0
19496,0,0,1,0
19498,0,0,1,0
19500,1,0,0,0
19502,0,0,0,0
19504,0,0,1,0
19506,1,0,0,0
19508,1,0,0,0
19510,0,1,0,0
19512,0,0,1,0
19514,0,0,1,0
19516,1,0,0,0
19518,1,0,0,0
19520,0,0,1,0
19522,1,0,0,0
19524,1,0,0,0
19526,1,0,0,0
19528,0,1,0,0
19530,1,0,0,0
19532,1,0,0,0
19534,0,0,1,0
19536,0,0,1,0
19538,0,0,1,0
19540,1,0,0,0
19542,0,1,0,0
19544,0,0,1,0
19546,1,0,0,0
19548,0,0,1,0
19550,0,0,1,0
19552,0,0,1,0
19554,0,1,0,0
19556,1,0,0,0
19558,1,0,0,0
19560,0,0,1,0
19562,0,0,1,0
19564,0,0,1,0
19566,0,0,1,0
19568,0,0,1,0
19570,0,0,1,0
19572,1,0,0,0
19574,1,0,0,0
19576,1,0,0,0
19578,0,1,0,0
19580,0,1,0,0
19582,0,0,1,0
19584,0,0,1,0
19586,0,0,1,0
19588,0,1,0,0
19590,1,0,0,0
19592,0,1,0,0
19594,0,1,0,0
19596,0,1,0,0
19598,0,0,1,0
19600,0,1,0,0
19602,0,1,0,0
19604,0,0,1,0
19606,1,0,0,0
19608,1,0,0,0
19610,1,0,0,0
19612,0,1,0,0
19614,1,0,0,0
19616,0,0,1,0
19618,0,1,0,0
19620,0,1,0,0
19622,0,0,1,0
19624,0,0,1,0
